1,1,2
2,1,3
3,1,2
4,1,2
5,1,3
6,1,2
7,1,3
8,1,4
9,1,2
10,1,3
11,1,2
12,1,2
13,1,2
14,1,5
15,1,2
16,1,2
17,1,3
18,1,2
19,1,2
20,1,2
21,1,2
22,1,2
23,1,3
24,1,4
25,1,2
26,1,2
27,1,2
1,2,2
2,2,2
3,2,2
4,2,2
5,2,3
6,2,2
7,2,3
8,2,4
9,2,2
10,2,4
11,2,2
12,2,2
13,2,2
14,2,4
15,2,2
16,2,2
17,2,2
18,2,2
19,2,3
20,2,2
21,2,2
22,2,2
23,2,2
24,2,5
25,2,2
26,2,2
27,2,2
1,3,2
2,3,2
3,3,2
4,3,2
5,3,3
6,3,4
7,3,4
8,3,4
9,3,3
10,3,3
11,3,2
12,3,2
13,3,2
14,3,2
15,3,2
16,3,5
17,3,2
18,3,2
19,3,2
20,3,2
21,3,2
22,3,2
23,3,2
24,3,3
25,3,2
26,3,2
27,3,2
1,4,2
2,4,2
3,4,2
4,4,2
5,4,4
6,4,4
7,4,4
8,4,4
9,4,4
10,4,4
11,4,4
12,4,4
13,4,2
14,4,2
15,4,2
16,4,2
17,4,3
18,4,2
19,4,2
20,4,2
21,4,2
22,4,2
23,4,2
24,4,2
25,4,2
26,4,2
27,4,2
